product_id,pair_id,product_name,category,subcategory,brand,gender_target,price,size,normalized_price_per_unit,retailer,description,ingredients
P00001_M,PAIR00001,Gillette Razor - Men - 5,Shaving,Razor,Gillette,Men,298.58,5.0,298.58,Nykaa,Advanced formula Razor by Gillette for long-lasting performance.,
P00001_F,PAIR00001,Gillette Razor - Women - 5,Shaving,Razor,Gillette,Women,297.42,5.0,297.42,Nykaa,Advanced formula Razor by Gillette for long-lasting performance.,
P00002_M,PAIR00002,L'Oréal Moisturizer - Men - 150ml,Personal Care,Moisturizer,L'Oréal,Men,292.12,150.0,292.12,Ajio,L'Oréal presents a gentle Moisturizer with enriched ingredients.,"Glycerin, Shea Butter, Sodium Chloride, Water, Niacinamide"
P00002_F,PAIR00002,L'Oréal Moisturizer - Women - 150ml,Personal Care,Moisturizer,L'Oréal,Women,847.4,150.0,847.4,Amazon.in,Lightweight Moisturizer from L'Oréal — dermatologist tested.,"Tea Tree Oil, Cocamidopropyl Betaine, Coconut Oil, Sodium Laureth Sulfate"
P00003_M,PAIR00003,Neutrogena Moisturizer - Men - 150ml,Personal Care,Moisturizer,Neutrogena,Men,1882.5,150.0,1882.5,Ajio,Advanced formula Moisturizer by Neutrogena for long-lasting performance.,"Shea Butter, Niacinamide, Cocamidopropyl Betaine, Sodium Chloride"
P00003_F,PAIR00003,Neutrogena Moisturizer - Women - 150ml,Personal Care,Moisturizer,Neutrogena,Women,925.48,150.0,925.48,PharmEasy,Advanced formula Moisturizer by Neutrogena for long-lasting performance.,"Niacinamide, Coconut Oil, Paraben"
P00004_M,PAIR00004,Ponds Moisturizer - Men - 100ml,Personal Care,Moisturizer,Ponds,Men,426.72,100.0,426.72,Amazon.in,Advanced formula Moisturizer by Ponds for long-lasting performance.,"Sodium Chloride, Keratin, Panthenol"
P00004_F,PAIR00004,Ponds Moisturizer - Women - 100ml,Personal Care,Moisturizer,Ponds,Women,445.71,100.0,445.71,Amazon.in,Advanced formula Moisturizer by Ponds for long-lasting performance.,"Sodium Chloride, Keratin, Panthenol"
P00005_M,PAIR00005,Uniqlo T-Shirt - Men - S,Clothing,T-Shirt,Uniqlo,Men,2385.96,1.0,2385.96,Myntra,Uniqlo T-Shirt for everyday use — nourishes and protects.,
P00005_F,PAIR00005,Uniqlo T-Shirt - Women - S,Clothing,T-Shirt,Uniqlo,Women,2465.87,1.0,2465.87,Myntra,Uniqlo T-Shirt for everyday use — nourishes and protects.,
